# pT       ts=2                   ts=3                ts=4
0.0   -1.1981747461030191e-22   2.5731461587367047e-23   -5.851687972381277e-23
0.2   0.02593484721992014   0.016667107172596778   0.009471237308325157
0.4   0.09432440430737186   0.06097734898550163   0.034530083727140184
0.6   0.18730098103546963   0.1219659454258101   0.06871973419926311
0.8   0.2917459615106539   0.19125785633990697   0.10714317420964482
1.0   0.40096964400453616   0.26423738024563853   0.14717605022706845
1.2   0.5117836056622501   0.3384611963000521   0.1875234435741883
1.4   0.6224670700895107   0.41250391666143693   0.22751368534742905
1.6   0.7319374871588696   0.4854573027280506   0.26677813486346946
1.8   0.8394550964286617   0.5567216122683594   0.3051116694901923
2.0   0.9445042557469115   0.6259046708558782   0.34240669104747357
2.2   1.0467306545437853   0.6927585438485893   0.37861335435233506
2.4   1.145897539651211   0.7571356227132582   0.41371755665854903
2.6   1.2418558523962466   0.8189594490828723   0.44772456669533783
2.8   1.3345139196539098   0.8782001991834734   0.48065054707989624
3.0   1.423832003691908   0.9348651040306768   0.5125184456295012
3.2   1.5098013849670537   0.9889821819857286   0.5433518257480953
3.4   1.5924334778688285   1.0405997641617581   0.5731767713213585
3.6   1.6717660761621667   1.0897734285975085   0.6020173643390634
3.8   1.7478455054261215   1.136571162159152   0.6298994435890892
4.0   1.8207301572929486   1.181063250914489   0.6568454969466835
