# eta       BBP                   LY                   spinhydro
-2.0   0.2922834388301773   0.2245995652759964   0.19708336500147938
-1.8   0.28283275918601014   0.23035157486654906   0.19533943256523287
-1.6   0.27250800686625426   0.2345041826106636   0.19492204267260838
-1.4   0.2641854207377963   0.2379144348013043   0.1952949207132205
-1.2   0.25818822316327417   0.24112282708971872   0.19607400379595122
-1.0   0.2538751655487681   0.24422519492906994   0.19699901483524954
-0.8   0.25102061078905225   0.24707744047814933   0.19788213102767951
-0.6   0.2497344714544167   0.24951470860702135   0.19861897535176357
-0.4   0.24975612053468704   0.25137845401987013   0.19918250790263028
-0.2   0.25032689335046815   0.2525467365045371   0.1995571976375037
1.27676e-15   0.2506329393235633   0.25294553511038614   0.1996932681083895
0.2   0.25032737836464924   0.2525467469307921   0.1995571910274403
0.4   0.24975708169035488   0.25137847352897463   0.19918249448348907
0.6   0.24973589022061066   0.24951473449129177   0.19861895474476082
0.8   0.2510224578641659   0.24707746946021386   0.19788210269219064
1.0   0.2538773990083144   0.24422522395497692   0.1969989780376081
1.2   0.25819078621599734   0.24112285253834534   0.19607395759937635
1.4   0.26418824160494614   0.23791445048480872   0.19529486402404017
1.6   0.2725110035378472   0.23450417820750843   0.1949219742399462
1.8   0.2828358496727493   0.23035153625837523   0.19533935097149777
2.0   0.2922865524201365   0.22459947692582538   0.19708326898874123
