# phi       ts=2                   ts=3                ts=4
0.0   -1.8669610750138757e-16   -2.454769400869798e-16   -3.696205064553377e-16
0.20944   0.3042495908153633   0.20304094397185146   0.11567759628439674
0.418879   0.5589477748902582   0.3717500951731613   0.21028111263468652
0.628319   0.7205600771803523   0.47670777161258465   0.2668805920742077
0.837758   0.7588247150469524   0.4987607192182887   0.2760330671984286
1.0472   0.6642722970502839   0.4336985785562484   0.23748366994777517
1.25664   0.45222068346040045   0.2936136141739468   0.1594845648812921
1.46608   0.16015748724112314   0.10365639069865899   0.05606125892149485
1.67552   -0.16015748724112294   -0.10365639069865892   -0.05606125892149479
1.88496   -0.45222068346040023   -0.29361361417394677   -0.15948456488129203
2.0944   -0.6642722970502837   -0.4336985785562484   -0.2374836699477751
2.30383   -0.758824715046952   -0.49876071921828846   -0.27603306719842857
2.51327   -0.7205600771803521   -0.4767077716125846   -0.26688059207420756
2.72271   -0.5589477748902582   -0.3717500951731613   -0.2102811126346865
2.93215   -0.3042495908153631   -0.2030409439718514   -0.1156775962843967
3.14159   -1.0897511097599013e-15   -7.059516865362451e-16   -2.7884021373060667e-16
3.35103   0.3042495908153631   0.2030409439718514   0.1156775962843967
3.56047   0.5589477748902582   0.3717500951731613   0.2102811126346865
3.76991   0.7205600771803521   0.4767077716125846   0.26688059207420756
3.97935   0.758824715046952   0.49876071921828846   0.27603306719842857
4.18879   0.6642722970502837   0.4336985785562484   0.2374836699477751
4.39823   0.45222068346040023   0.29361361417394677   0.15948456488129203
4.60767   0.16015748724112294   0.10365639069865892   0.05606125892149479
4.81711   -0.16015748724112314   -0.10365639069865899   -0.05606125892149485
5.02655   -0.45222068346040045   -0.2936136141739468   -0.1594845648812921
5.23599   -0.6642722970502839   -0.4336985785562484   -0.23748366994777517
5.44543   -0.7588247150469524   -0.4987607192182887   -0.2760330671984286
5.65487   -0.7205600771803523   -0.47670777161258465   -0.2668805920742077
5.86431   -0.5589477748902582   -0.3717500951731613   -0.21028111263468652
6.07375   -0.3042495908153633   -0.20304094397185146   -0.11567759628439674
6.28319   2.1498934553832173e-15   1.3190708777711538e-15   5.290087285082366e-16
