# eta       ts=2                   ts=3                ts=4
-2.0   1.240533026572957   0.6782110066048203   0.40158001277594435
-1.8   1.1979096382597225   0.6480339289980053   0.3819722697226654
-1.6   1.1715461650668915   0.6272072532602975   0.368071493381469
-1.4   1.156716171552946   0.6138391938695755   0.3591360101591922
-1.2   1.1492298150961844   0.6059200044726053   0.3540624128502629
-1.0   1.145963843113442   0.6016816030397037   0.35165686745817154
-0.8   1.1448070591139574   0.5996771433200077   0.3508225279491942
-0.6   1.144508069467716   0.5988543464724004   0.35072470577131454
-0.4   1.1444562624508074   0.5985628293165499   0.35085109315413954
-0.2   1.1444252830023383   0.5984634981578714   0.3509611294465798
1.27676e-15   1.1444057153733396   0.5984359506817325   0.3509964224186486
0.2   1.1444253205480046   0.5984635226255095   0.350961140816926
0.4   1.1444563371711882   0.5985628779678877   0.35085111559898546
0.6   1.1445081805169122   0.5988544185846435   0.3507247386109695
0.8   1.1448072053065501   0.5996772376239444   0.35082257012819734
1.0   1.145964023310531   0.6016817177063369   0.35165691757335343
1.2   1.1492300282021388   0.6059201368577283   0.35406246882679115
1.4   1.1567164156821816   0.6138393398575634   0.35913606855294106
1.6   1.171546435610757   0.6272074065731472   0.3680715489028177
1.8   1.1979099248741145   0.6480340806855409   0.3819723153645249
2.0   1.2405333092538129   0.678211144683436   0.40158004053303653
