# pT       BBP                   LY                   spinhydro
0.0   0.20226467359170147   0.20259263155122256   0.2211655369777733
0.2   0.2142474299611742   0.20749369025004344   0.2202160625436963
0.4   0.24231312833972352   0.21797347400662562   0.21871720251046411
0.6   0.2727503286756455   0.2269210482518115   0.2190365772410592
0.8   0.2979527047158946   0.2308838969511761   0.22250733589086275
1.0   0.31666548348654555   0.22995472805232964   0.229335387874235
1.2   0.3302078201153079   0.22549007195856213   0.23922339100787843
1.4   0.34023484774836404   0.21882032725982106   0.25176688326607444
1.6   0.34803781262765177   0.21089866021314405   0.26659657139765736
1.8   0.3544777391034687   0.2023229215203586   0.28340899548287124
2.0   0.3601002541419472   0.19343916159712987   0.3019614130893117
2.2   0.36523220381470334   0.18443551876276737   0.3220598912371349
2.4   0.37006916763681874   0.1754067438062731   0.3435469585822642
2.6   0.374723007638037   0.16639614688544085   0.3662934919408706
2.8   0.3792605732335779   0.15741981515317277   0.3901906038482772
3.0   0.3837165389546474   0.1484806417402561   0.41514543327728787
3.2   0.3881130304992902   0.13957616962067523   0.44107707740556285
3.4   0.39246352059758555   0.13070253641594304   0.4679128217294744
3.6   0.39677028672155457   0.12185532181260356   0.4955880609777424
3.8   0.40103493180449906   0.11303197277735907   0.5240431640903661
4.0   0.40525900263272313   0.10423034050603276   0.553223366046202
