# pT       BBP                   LY                   spinhydro
0.0   -1.550701628812806e-22   -5.713880688995302e-23   -5.851687972381277e-23
0.2   0.010323452742720615   0.0034816698210742222   0.009471237308325157
0.4   0.033659604255660724   0.01176069650978483   0.034530083727140184
0.6   0.057060667261073034   0.021063338602218998   0.06871973419926311
0.8   0.07400243851280242   0.029300892052678867   0.10714317420964482
1.0   0.08422885324403513   0.036152514708029174   0.14717605022706845
1.2   0.08973532637711677   0.042007170196356004   0.1875234435741883
1.4   0.09251697220589883   0.04731848819469475   0.22751368534742905
1.6   0.09396838476398696   0.052400334996513045   0.26677813486346946
1.8   0.09492661232182459   0.05741956187535245   0.3051116694901923
2.0   0.09584311447470972   0.062436158561282755   0.34240669104747357
2.2   0.0969352866972014   0.06744826797290017   0.37861335435233506
2.4   0.09828816241301028   0.07242448227686324   0.41371755665854903
2.6   0.09991622631828288   0.07732403102980742   0.44772456669533783
2.8   0.10179950218284592   0.0821067548567825   0.48065054707989624
3.0   0.10390122995230068   0.08673860848375291   0.5125184456295012
3.2   0.10618373552719368   0.09119460572160838   0.5433518257480953
3.4   0.10860813290589583   0.0954579698004446   0.5731767713213585
3.6   0.11113921062895493   0.09951741134368512   0.6020173643390634
3.8   0.11374750239571724   0.10336991793862503   0.6298994435890892
4.0   0.11640617878101911   0.10701388279643635   0.6568454969466835
