# pT       BBP                   LY                   spinhydro
0.0   0.19731163174803584   0.2079846896271104   0.21540340812583772
0.2   0.20723888036342733   0.21491632601483052   0.2129460391001729
0.4   0.2287505793037098   0.23007460086346068   0.20728567867545028
0.6   0.2480495494826358   0.24392449705172953   0.20149559800915337
0.8   0.2586022849198349   0.25174332886436046   0.197452623755025
1.0   0.26067807502262913   0.25351642631194504   0.19565161549985735
1.2   0.25682094161351837   0.2509366410270922   0.19593097355047723
1.4   0.24941810099016395   0.24569573053614024   0.19795616438578437
1.6   0.2401146108505325   0.2390118554347175   0.20140517086850526
1.8   0.22990151934728031   0.23164772376334242   0.20601676622027518
2.0   0.21933175075308287   0.22404279741402794   0.21159023183384817
2.2   0.20869249638490606   0.21643193283916343   0.21797380272479605
2.4   0.19812080040849017   0.20892822908524272   0.22505335698992965
2.6   0.1876743055177837   0.20157839731233088   0.23274190520745863
2.8   0.1773705434249269   0.19439264345671176   0.24097163360235602
3.0   0.16721022501977578   0.18736500492384936   0.24968947890364376
3.2   0.15718621716407014   0.18048131320585642   0.25885252779499257
3.4   0.14729208226513707   0.17372672643868414   0.26842487255923886
3.6   0.13752081600884444   0.16708558723730005   0.27837617498048595
3.8   0.12787069056267275   0.1605456368182031   0.28868038417173253
4.0   0.1183401282883857   0.1540962353562719   0.2993140642837107
