# eta       BBP                   LY                   spinhydro
-2.0   0.7635328482994407   0.23304513474155966   0.40158001277594435
-1.8   0.6599408881897562   0.22731649604273613   0.3819722697226654
-1.6   0.5629810257662049   0.22355027872566877   0.368071493381469
-1.4   0.47817811670410276   0.22170090392475456   0.3591360101591922
-1.2   0.40672298296505915   0.22153652918874472   0.3540624128502629
-1.0   0.34808488780722874   0.22267534549332965   0.35165686745817154
-0.8   0.3019993875879575   0.22464379773086432   0.3508225279491942
-0.6   0.2683077408785666   0.22693175194139437   0.35072470577131454
-0.4   0.2461111845131042   0.22899823062346422   0.35085109315413954
-0.2   0.23380844466417183   0.23039852823258353   0.3509611294465798
1.27676e-15   0.22990675841715438   0.23088849031307157   0.3509964224186486
0.2   0.23380978890013898   0.23039854988856465   0.350961140816926
0.4   0.2461138513015266   0.22899827288259753   0.35085111559898546
0.6   0.2683116829848376   0.22693181245417807   0.3507247386109695
0.8   0.30200452689126406   0.22464387346416803   0.35082257012819734
1.0   0.34809111094163014   0.22267543352553756   0.35165691757335343
1.2   0.40673014084908277   0.22153662592071638   0.35406246882679115
1.4   0.4781860314434443   0.22170100294076986   0.35913606855294106
1.6   0.5629895061996861   0.22355036912761855   0.3680715489028177
1.8   0.6599497515704318   0.22731656298636704   0.3819723153645249
2.0   0.7635419410545429   0.2330451624277559   0.40158004053303653
