# pT       BBP                   LY                   spinhydro
0.0   2.102489120539935e-22   8.807228659091247e-23   3.088305236575591e-24
0.2   -0.0051602594643685926   -0.005991150675460281   -0.0043026439837494015
0.4   -0.020240791166520472   -0.02235962231053776   -0.016222687244550248
0.6   -0.04384434258678648   -0.045793991972166416   -0.03371311839860598
0.8   -0.07366121780385812   -0.07332474681753745   -0.054924103280262454
1.0   -0.10713379910155263   -0.1028557945536823   -0.07853254220465
1.2   -0.14207119467583323   -0.13298233010377347   -0.10362352009047646
1.4   -0.17689305717484505   -0.16279326355823454   -0.12955999971899176
1.6   -0.2106028033635783   -0.1917377011225136   -0.1559005361219133
1.8   -0.24265302358185106   -0.21952289027709193   -0.1823421622542802
2.0   -0.27280117042494617   -0.2460255878864378   -0.2086784035921501
2.2   -0.3009926942257488   -0.27122709813075824   -0.23476759085790952
2.4   -0.3272804933972723   -0.2951665224874231   -0.26051084579060835
2.6   -0.3517679103234638   -0.3179076646319618   -0.2858389764519318
2.8   -0.37458356191209324   -0.3395259626271163   -0.31070079470955375
3.0   -0.395857974961807   -0.36009492346554034   -0.3350591808468988
3.2   -0.4157153024153395   -0.3796805537460899   -0.35888530750255304
3.4   -0.43427252967178875   -0.3983451069966705   -0.3821577595390017
3.6   -0.45163162720769195   -0.416140697771505   -0.4048591638002198
3.8   -0.46789025487007163   -0.4331156248120282   -0.42697740207885093
4.0   -0.4831298222890451   -0.4493112730864648   -0.4485026202778536
