# phi       BBP                   LY                   spinhydro
0.0   -2.7959431772345425e-17   -2.9623946844270663e-16   -3.696205064553377e-16
0.20944   0.06257041997626316   0.03658159687272476   0.11567759628439674
0.418879   0.11359995935283008   0.06082451271206908   0.21028111263468652
0.628319   0.14520592446569058   0.0682400761941326   0.2668805920742077
0.837758   0.15340441573563973   0.062288370727565434   0.2760330671984286
1.0472   0.13636622899202147   0.04862074141201866   0.23748366994777517
1.25664   0.09467658333848969   0.03081834252759997   0.1594845648812921
1.46608   0.033980136746967225   0.010573639782198645   0.05606125892149485
1.67552   -0.03398013674696716   -0.010573639782198573   -0.05606125892149479
1.88496   -0.09467658333848963   -0.030818342527599907   -0.15948456488129203
2.0944   -0.1363662289920214   -0.04862074141201859   -0.2374836699477751
2.30383   -0.15340441573563965   -0.06228837072756536   -0.27603306719842857
2.51327   -0.14520592446569053   -0.06824007619413254   -0.26688059207420756
2.72271   -0.11359995935283008   -0.06082451271206905   -0.2102811126346865
2.93215   -0.06257041997626311   -0.036581596872724755   -0.1156775962843967
3.14159   1.4510099257885604e-16   4.1156668597197554e-16   -2.7884021373060667e-16
3.35103   0.06257041997626311   0.036581596872724755   0.1156775962843967
3.56047   0.11359995935283008   0.06082451271206905   0.2102811126346865
3.76991   0.14520592446569053   0.06824007619413254   0.26688059207420756
3.97935   0.15340441573563965   0.06228837072756536   0.27603306719842857
4.18879   0.1363662289920214   0.04862074141201859   0.2374836699477751
4.39823   0.09467658333848963   0.030818342527599907   0.15948456488129203
4.60767   0.03398013674696716   0.010573639782198573   0.05606125892149479
4.81711   -0.033980136746967225   -0.010573639782198645   -0.05606125892149485
5.02655   -0.09467658333848969   -0.03081834252759997   -0.1594845648812921
5.23599   -0.13636622899202147   -0.04862074141201866   -0.23748366994777517
5.44543   -0.15340441573563973   -0.062288370727565434   -0.2760330671984286
5.65487   -0.14520592446569058   -0.0682400761941326   -0.2668805920742077
5.86431   -0.11359995935283008   -0.06082451271206908   -0.21028111263468652
6.07375   -0.06257041997626316   -0.03658159687272476   -0.11567759628439674
6.28319   3.8278698320927776e-16   -6.84521195023586e-17   5.290087285082366e-16
