# phi       BBP                   LY                   spinhydro
0.0   -2.6197788254215533e-17   -2.9396810421038215e-16   -2.8776411102898446e-16
0.20944   0.06257041997626316   0.03658159687272476   0.0858057221325978
0.418879   0.11359995935283008   0.06082451271206908   0.1556041621463914
0.628319   0.14520592446569058   0.0682400761941326   0.19670891462659437
0.837758   0.15340441573563973   0.062288370727565434   0.20239970976338514
1.0472   0.13636622899202147   0.04862074141201866   0.17313688737103505
1.25664   0.09467658333848969   0.03081834252759997   0.1156827992808734
1.46608   0.033980136746967225   0.010573639782198645   0.040541712398851015
1.67552   -0.03398013674696716   -0.010573639782198573   -0.04054171239885098
1.88496   -0.09467658333848963   -0.030818342527599907   -0.11568279928087333
2.0944   -0.1363662289920214   -0.04862074141201859   -0.17313688737103503
2.30383   -0.15340441573563965   -0.06228837072756536   -0.20239970976338512
2.51327   -0.14520592446569053   -0.06824007619413254   -0.19670891462659434
2.72271   -0.11359995935283008   -0.06082451271206905   -0.1556041621463914
2.93215   -0.06257041997626311   -0.036581596872724755   -0.08580572213259778
3.14159   1.4457847491270522e-16   4.112787696992908e-16   -2.184735321522789e-16
3.35103   0.06257041997626311   0.036581596872724755   0.08580572213259778
3.56047   0.11359995935283008   0.06082451271206905   0.1556041621463914
3.76991   0.14520592446569053   0.06824007619413254   0.19670891462659434
3.97935   0.15340441573563965   0.06228837072756536   0.20239970976338512
4.18879   0.1363662289920214   0.04862074141201859   0.17313688737103503
4.39823   0.09467658333848963   0.030818342527599907   0.11568279928087333
4.60767   0.03398013674696716   0.010573639782198573   0.04054171239885098
4.81711   -0.033980136746967225   -0.010573639782198645   -0.040541712398851015
5.02655   -0.09467658333848969   -0.03081834252759997   -0.1156827992808734
5.23599   -0.13636622899202147   -0.04862074141201866   -0.17313688737103505
5.44543   -0.15340441573563973   -0.062288370727565434   -0.20239970976338514
5.65487   -0.14520592446569058   -0.0682400761941326   -0.19670891462659437
5.86431   -0.11359995935283008   -0.06082451271206908   -0.1556041621463914
6.07375   -0.06257041997626316   -0.03658159687272476   -0.0858057221325978
6.28319   3.840032668114733e-16   -6.708575541140942e-17   3.7493682696129666e-16
