# eta       BBP                   LY                   spinhydro
-2.0   0.7635328482994407   0.23304513474155966   0.27200332332679195
-1.8   0.6599408881897562   0.22731649604273613   0.25593647253424906
-1.6   0.5629810257662049   0.22355027872566877   0.24456803822811612
-1.4   0.47817811670410276   0.22170090392475456   0.2373002550637149
-1.2   0.40672298296505915   0.22153652918874472   0.23323086353557826
-1.0   0.34808488780722874   0.22267534549332965   0.23136836212695852
-0.8   0.3019993875879575   0.22464379773086432   0.23080101056633245
-0.6   0.2683077408785666   0.22693175194139437   0.2308336210347579
-0.4   0.2461111845131042   0.22899823062346422   0.23102998820609671
-0.2   0.23380844466417183   0.23039852823258353   0.23117793221442662
1.27676e-15   0.22990675841715438   0.23088849031307157   0.23122599703480953
0.2   0.23380978890013898   0.23039854988856465   0.23117794150754872
0.4   0.2461138513015266   0.22899827288259753   0.2310300065871912
0.6   0.2683116829848376   0.22693181245417807   0.23083364802785586
0.8   0.30200452689126406   0.22464387346416803   0.2308010454370741
1.0   0.34809111094163014   0.22267543352553756   0.23136840386627452
1.2   0.40673014084908277   0.22153662592071638   0.23323091050743056
1.4   0.4781860314434443   0.22170100294076986   0.23730030436927835
1.6   0.5629895061996861   0.22355036912761855   0.24456808537327515
1.8   0.6599497515704318   0.22731656298636704   0.25593651172720183
2.0   0.7635419410545429   0.2330451624277559   0.2720033482987295
