# pT       BBP                   LY                   spinhydro
0.0   0.20226467359170147   0.20259263155122256   0.36205572615702475
0.2   0.2142474299611742   0.20749369025004344   0.35806233408037796
0.4   0.24231312833972352   0.21797347400662562   0.34960015867961197
0.6   0.2727503286756455   0.2269210482518115   0.34288470351625194
0.8   0.2979527047158946   0.2308838969511761   0.3415183739036706
1.0   0.31666548348654555   0.22995472805232964   0.34622217322977467
1.2   0.3302078201153079   0.22549007195856213   0.35642149389737726
1.4   0.34023484774836404   0.21882032725982106   0.3712553319143296
1.6   0.34803781262765177   0.21089866021314405   0.3899424358444216
1.8   0.3544777391034687   0.2023229215203586   0.41185446252892377
2.0   0.3601002541419472   0.19343916159712987   0.43650534976848604
2.2   0.36523220381470334   0.18443551876276737   0.46351962334317776
2.4   0.37006916763681874   0.1754067438062731   0.4926023026645672
2.6   0.374723007638037   0.16639614688544085   0.5235207801051882
2.8   0.3792605732335779   0.15741981515317277   0.5560841032176961
3.0   0.3837165389546474   0.1484806417402561   0.5901356174597857
3.2   0.3881130304992902   0.13957616962067523   0.6255415697474868
3.4   0.39246352059758555   0.13070253641594304   0.6621876091145223
3.6   0.39677028672155457   0.12185532181260356   0.6999713041819458
3.8   0.40103493180449906   0.11303197277735907   0.738803561577888
4.0   0.40525900263272313   0.10423034050603276   0.7786017793997215
