# pT       ts=2                   ts=3                ts=4
0.0   1.1526323310096651   0.5842144132444351   0.36205572615702475
0.2   1.139880709699675   0.5800538909216579   0.35806233408037796
0.4   1.1140398215281198   0.5723620068746755   0.34960015867961197
0.6   1.096868327692028   0.5695317075209659   0.34288470351625194
0.8   1.1005953039879894   0.5762764932719271   0.3415183739036706
1.0   1.1271154103550725   0.5933147941623066   0.34622217322977467
1.2   1.1737823875209208   0.6195934332059769   0.35642149389737726
1.4   1.2370676233195295   0.6536965539841295   0.3712553319143296
1.6   1.3138628684525337   0.6943462719595737   0.3899424358444216
1.8   1.4017233236391566   0.7405080180856078   0.41185446252892377
2.0   1.4987915568302996   0.7913661439605585   0.43650534976848604
2.2   1.6036590125947765   0.8462783158124465   0.46351962334317776
2.4   1.7152452217789271   0.9047318559667734   0.4926023026645672
2.6   1.8327096848263187   0.9663151472548471   0.5235207801051882
2.8   1.9553752418588248   1.0306854780280805   0.5560841032176961
3.0   2.0826972138860786   1.0975609060459082   0.5901356174597857
3.2   2.214216350552026   1.1666973584200029   0.6255415697474868
3.4   2.349547169524214   1.2378871822224644   0.6621876091145223
3.6   2.4883492277295813   1.3109455999834152   0.6999713041819458
3.8   2.6303280763885843   1.3857115506179751   0.738803561577888
4.0   2.775214315443529   1.46203715320456   0.7786017793997215
