# pT       BBP                   LY                   spinhydro
0.0   -2.5803286251126926e-22   -3.432339967932657e-22   6.921522015311736e-24
0.2   0.010323452742720615   0.0034816698210742222   0.0065369092018931286
0.4   0.033659604255660724   0.01176069650978483   0.024106342499720646
0.6   0.057060667261073034   0.021063338602218998   0.04870629812208977
0.8   0.07400243851280242   0.029300892052678867   0.0771501378561742
1.0   0.08422885324403513   0.036152514708029174   0.10755818051224879
1.2   0.08973532637711677   0.042007170196356004   0.1388634223397517
1.4   0.09251697220589883   0.04731848819469475   0.17042308955640717
1.6   0.09396838476398696   0.052400334996513045   0.20183096270431525
1.8   0.09492661232182459   0.05741956187535245   0.23282712746888803
2.0   0.09584311447470972   0.062436158561282755   0.2632468057564842
2.2   0.0969352866972014   0.06744826797290017   0.2929869561329341
2.4   0.09828816241301028   0.07242448227686324   0.3219852179872046
2.6   0.09991622631828288   0.07732403102980742   0.35020544782946433
2.8   0.10179950218284592   0.0821067548567825   0.37762791747722113
3.0   0.10390122995230068   0.08673860848375291   0.40424427189748935
3.2   0.10618373552719368   0.09119460572160838   0.4300531430906287
3.4   0.10860813290589583   0.0954579698004446   0.4550578991300594
3.6   0.11113921062895493   0.09951741134368512   0.4792651343930308
3.8   0.11374750239571724   0.10336991793862503   0.5026847466403779
4.0   0.11640617878101911   0.10701388279643635   0.5253268772973103
